name,pos1,pos2,pos3,pos4,pos5,
select subcategory,none,none,none,none,none,
Business-to-Business,"COVER,BANNER,CAROUSEL","TEXT,TITLE,TABLEOFCONTENT","TEXT-IMAGE,FEATURES,FEATURESGRIDS","PRICELIST,REFERENCES,CALLTOACTION","TEAM,STEPS,TABS",1
Household Employment,"COVER,BANNER,CAROUSEL","MEDIALIST,STEPS,COLUMNS","IMAGE-TEXT,FEATURES,BIGBOXES","QUOTES,BLOCKQUOTE,TEXTHIGHLIGHT","REFERENCES,CALLTOACTION,NEWSLETTER",2
Tax Negotiation and Representation,"COVER,BANNER,CAROUSEL","SHOWCASE,REFERENCES,FEATURES","TABLEOFCONTENT,NUMBERS,BIGBOXES","STEPS,REFERENCES,TEXT-IMAGE","CALLTOACTION,QUOTES,NEWSLETTERBOX",3
CPE For CPAs,"COVER,BANNER,CAROUSEL","MASONRY,MEDIALIST,BIGBOXES","TEXT,TABLEOFCONTENT,TEXT-IMAGE","REFERENCES,NUMBERS,COLUMNS","NEWSLETTERBOX,NEWSLETTER,QUOTES",4
crafts,"COVER,BANNER,CAROUSEL","IMAGEGALLERY,IMAGESWALL,COLUMNS","IMAGE-TEXT,TEXT-IMAGE","COMPARISONS,REFERENCES,TEAM","CALLTOACTION,QUOTES,NEWSLETTERBOX",5
drawing and art gallery,"COVER,BANNER,CAROUSEL","IMAGEGALLERY,IMAGESWALL,COLUMNS","IMAGE-TEXT,TEXT-IMAGE","COMPARISONS,REFERENCES,TEAM","CALLTOACTION,QUOTES,NEWSLETTERBOX",6
photography,"COVER,BANNER,CAROUSEL","IMAGEGALLERY,IMAGESWALL,COLUMNS","IMAGE-TEXT,TEXT-IMAGE","COMPARISONS,REFERENCES,TEAM","CALLTOACTION,QUOTES,NEWSLETTERBOX",7
production services,"COVER,BANNER,CAROUSEL","IMAGEGALLERY,IMAGESWALL,COLUMNS","IMAGE-TEXT,TEXT-IMAGE","COMPARISONS,REFERENCES,TEAM","CALLTOACTION,QUOTES,NEWSLETTERBOX",8
Electric Vehicles,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT","COLUMNS,MEDIALIST,SHOWCASE","MASONRY,FEATURESGRID,REFERENCES","PRICELIST,CALLTOACTION,NEWSLETTERBOX",9
Car rentals,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT","COLUMNS,MEDIALIST,SHOWCASE","MASONRY,FEATURESGRID,REFERENCES","PRICELIST,CALLTOACTION,NEWSLETTERBOX",10
Parts and Accessories,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT","COLUMNS,MEDIALIST,SHOWCASE","MASONRY,FEATURESGRID,REFERENCES","PRICELIST,CALLTOACTION,NEWSLETTERBOX",11
Blogs,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT","FACEBOOK,TABLEOFCONTENT","BLOCKQUOTE,QUOTES","NEWSLETTERBOX,NEWSLETTER",12
Agrochemicals,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT,FEATURES","MASONRY,NUMBER,COLUMNS","ITEMS,REFERENCES,STEPS","PRICELIST,CALLTOACTION,NEWSLETTERBOX",13
Biochemicals,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT,FEATURES","MASONRY,NUMBER,COLUMNS","ITEMS,REFERENCES,STEPS","PRICELIST,CALLTOACTION,NEWSLETTERBOX",14
Laboratory Reagents,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT,FEATURES","MASONRY,NUMBER,COLUMNS","ITEMS,REFERENCES,STEPS","PRICELIST,CALLTOACTION,NEWSLETTERBOX",15
Cleaning Agents,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT,FEATURES","MASONRY,NUMBER,COLUMNS","ITEMS,REFERENCES,STEPS","PRICELIST,CALLTOACTION,NEWSLETTERBOX",16
Basic Chemicals,"COVER,BANNER,CAROUSEL","TEXT-IMAGE,IMAGE-TEXT,FEATURES","MASONRY,NUMBER,COLUMNS","ITEMS,REFERENCES,STEPS","PRICELIST,CALLTOACTION,NEWSLETTERBOX",17
